Time,Signal
50170.1,333
50172.94,345
50175.78,359
50178.63,365
50181.48,361
50184.33,356
50187.17,355
50190.01,355
50192.85,359
50195.7,355
50198.54,344
50201.38,339
50204.23,337
50207.08,336
50209.92,336
50212.76,330
50215.61,322
50218.46,315
50221.3,320
50224.14,325
50226.98,328
50229.83,324
50232.68,314
50235.53,309
50238.37,311
50241.21,317
50244.06,321
50246.9,316
50249.74,308
50252.58,305
50255.43,314
50258.28,322
50261.13,323
50263.97,317
50266.82,311
50269.66,311
50272.51,316
50275.35,319
50278.19,320
50281.04,315
50283.88,303
50286.72,288
50289.56,280
50292.41,274
50295.26,275
50298.1,276
50300.94,287
50303.78,318
50306.63,388
50309.48,489
50312.33,604
50315.17,651
50318.01,647
50320.85,647
50323.7,647
50326.54,620
50329.38,495
50332.23,357
50335.08,260
50337.92,218
50340.76,226
50343.61,249
50346.46,281
50349.3,301
50352.14,316
50354.98,327
50357.83,333
50360.68,332
50363.53,326
50366.37,313
50369.21,309
50372.06,312
50374.9,320
50377.74,324
50380.58,321
50383.43,316
50386.28,313
50389.13,319
50391.97,330
50394.82,328
50397.66,324
50400.51,313
50403.35,316
50406.19,323
50409.04,330
50411.88,330
50414.72,324
50417.56,318
50420.41,315
50423.26,322
50426.1,329
50428.94,334
50431.78,327
50434.63,316
50437.48,318
50440.33,327
50443.17,330
50446.01,331
50448.85,325
50451.69,323
50454.53,321
50457.37,331
50460.22,334
50463.07,331
50465.91,324
50468.75,320
50471.6,323
50474.45,330
50477.3,333
50480.14,330
50482.98,323
50485.82,321
50488.66,324
50491.51,330
50494.35,333
50497.2,331
50500.05,326
50502.89,322
50505.73,328
50508.57,341
50511.42,340
50514.27,336
50517.12,331
50519.96,329
50522.81,339
50525.66,346
50528.5,349
50531.34,345
50534.18,339
50537.03,340
50539.87,351
50542.72,354
50545.56,358
50548.41,349
50551.26,347
50554.1,347
50556.94,350
50559.78,354
50562.63,350
50565.48,341
50568.33,334
50571.17,334
50574.01,339
50576.85,340
50579.7,334
50582.54,325
50585.38,319
50588.23,322
50591.08,326
50593.92,329
50596.76,321
50599.61,311
50602.46,307
50605.3,309
50608.14,314
50610.98,319
50613.83,312
50616.68,305
50619.53,304
50622.37,308
50625.21,319
50628.06,320
50630.9,312
50633.74,308
50636.58,305
50639.43,311
50642.28,315
50645.13,316
50647.97,313
50650.82,307
50653.66,310
50656.51,315
50659.35,318
50662.19,319
50665.04,317
50667.88,308
50670.73,312
